2024-09-13 00:10:48 - Current Value: 256.00, Error: 73.69, P-Term: 117.91, I-Term: 0.00, D-Term: 0.00, Output: 2.90
2024-09-13 00:11:26 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: -0.18, Output: 2.70
2024-09-13 00:11:27 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: -0.09, Output: 2.65
2024-09-13 00:11:29 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: -0.09, Output: 2.60
2024-09-13 00:11:30 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: -0.09, Output: 2.55
2024-09-13 00:11:31 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: -0.09, Output: 2.50
2024-09-13 00:11:32 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: -0.09, Output: 2.45
2024-09-13 00:11:35 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: -0.03, Output: 2.40
2024-09-13 00:11:36 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.00, Output: 2.35
2024-09-13 00:11:37 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: -0.09, Output: 2.30
2024-09-13 00:11:39 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.25
2024-09-13 00:11:40 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:41 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:42 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:43 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:44 - Current Value: 346.00, Error: -16.31, P-Term: -26.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:45 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:11:46 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:48 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:49 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:50 - Current Value: 345.00, Error: -15.31, P-Term: -24.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:53 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.03, Output: 2.20
2024-09-13 00:11:54 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:55 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:57 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:58 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:11:59 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:00 - Current Value: 344.00, Error: -14.31, P-Term: -22.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:01 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:12:02 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:03 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:07 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:08 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:09 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:10 - Current Value: 343.00, Error: -13.31, P-Term: -21.29, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:11 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:12:12 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:13 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:14 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:18 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:19 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:20 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:21 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:22 - Current Value: 342.00, Error: -12.31, P-Term: -19.69, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:23 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:12:24 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:26 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:29 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:30 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:33 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:34 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:35 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:37 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:38 - Current Value: 341.00, Error: -11.31, P-Term: -18.09, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:39 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:12:40 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:43 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:44 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:45 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:47 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:48 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:49 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:50 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:53 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:54 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:55 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:57 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:12:58 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.09, Output: 2.20
2024-09-13 00:12:59 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:00 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:03 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:04 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:05 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:07 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:08 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:09 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:10 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:13 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:14 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:15 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:17 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:18 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:19 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:20 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:23 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:24 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:25 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:27 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:28 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:29 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:30 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:31 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:32 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:33 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:35 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:36 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:37 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:40 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:41 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:42 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:43 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:45 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:46 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:47 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:52 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:53 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:54 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:56 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:57 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:58 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:13:59 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:02 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:03 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:04 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:06 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:07 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:08 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:09 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:12 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:13 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:14 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:16 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:17 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:18 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:19 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:22 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:23 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:24 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:26 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:27 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:28 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:31 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:32 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:33 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:34 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:36 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:37 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:38 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:39 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:40 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:41 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:42 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:46 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:47 - Current Value: 339.00, Error: -9.31, P-Term: -14.89, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:48 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: -0.09, Output: 2.20
2024-09-13 00:14:49 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:50 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:51 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:52 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:56 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:57 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:58 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:14:59 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:02 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:03 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:05 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:06 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:07 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:08 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:09 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:10 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:13 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:15 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:16 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:17 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:18 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:19 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
2024-09-13 00:15:20 - Current Value: 340.00, Error: -10.31, P-Term: -16.49, I-Term: -0.12, D-Term: 0.00, Output: 2.20
